datetime,open,high,low,close,volume,ATR,ADX,DI+,DI-,ema_fast,ema_slow,donchian_high,donchian_low,donchian_mid,volume_ma20,volume_std20,volume_zscore,RSI,bb_upper,bb_mid,bb_lower,bb_percent,trade_type,signals
2021-01-01 05:30:00,28923.63,29600.0,28624.57,29331.69,54182.925011,1402.311604898658,49.90077108869674,39.04072806501643,6.666932220031188,26438.569434409164,23918.939270430084,29600.0,18711.12,24155.559999999998,88515.49648460001,32866.22331895789,-1.044615657248221,81.09780347375298,30516.52686680123,24248.3505,17980.174133198772,0.905487912475102,HOLD,0
2021-01-02 05:30:00,29331.7,33300.0,28946.53,32178.33,129993.873362,1613.1086331201825,52.03631200637606,47.89839746024705,5.38173450497453,27321.60952142314,24530.745991138967,33300.0,19000.0,26150.0,92187.1490655,33208.526114213906,1.1384643861179367,84.41800850738547,31631.29532095256,24898.517499999998,18165.739679047438,1.040624738673617,HOLD,0
2021-01-03 05:30:00,32176.45,34778.11,31962.99,33000.05,120957.56675,1698.9665878973124,54.187905481363714,48.44374003303348,4.744783088761226,28195.215748896502,25158.101843647193,34778.11,19050.0,26914.055,95872.1673383,32028.5788997918,0.7832192458549281,87.88813933677207,32691.382846460067,25584.863,18478.343153539936,1.0217171808570753,HOLD,0
2021-01-04 05:30:00,33000.05,33600.0,28130.0,31988.71,140899.88569,1968.3261173332185,52.98487201094943,38.827619453391264,17.71247438738985,28778.83024906627,25664.072818191846,34778.11,19278.6,27028.355,99825.44332225001,32482.483653032814,1.264510522240037,86.00674373795758,33247.92556155393,26212.977,19178.028438446065,0.9105028593644908,HOLD,0
2021-01-05 05:30:00,31989.75,34360.0,29900.0,33949.53,116049.997038,2146.302823237989,52.09113000872461,35.59377999067645,15.083447295764044,29574.32251844069,26277.81038721467,34778.11,21230.0,28004.055,99912.62639565,32525.707263105865,0.4961420365685554,86.89245422802222,34287.3450188565,26843.677499999998,19400.0099811435,0.9773085634197971,HOLD,0
2021-01-06 05:30:00,33949.53,36939.21,33288.0,36769.36,127139.20131,2253.796193006704,51.91716435574144,39.64918009920987,13.338048203853123,30681.25136175751,27054.962210383954,36939.21,21815.0,29377.105,97025.46262375,26611.441589632897,1.1316086948848914,92.34755742757498,35947.45677027744,27542.2875,19137.118229722564,1.0488927232333678,HOLD,0
2021-01-07 05:30:00,36769.36,40365.0,36300.0,39432.28,132825.700437,2383.167893506225,52.405692291988245,45.086273287860564,11.712985371177998,32027.563459948662,27971.800565170328,40365.0,21815.0,31090.0,99684.44092985001,27427.81944291152,1.2083082133499696,93.26103270553774,38026.178955136624,28358.532,18690.885044863375,1.0727219897141715,HOLD,0
2021-01-08 05:30:00,39432.48,41950.0,36500.0,40582.81,139789.957499,2602.227329684352,53.10274770600581,42.6921651871387,9.960756492239033,33343.755235341174,28905.94941219475,41950.0,21815.0,31882.5,102371.68557095001,28627.751081732684,1.3070629202140343,93.32257071227657,40042.43582147054,29196.591999999997,18350.748178529448,1.024911578454584,HOLD,0
2021-01-09 05:30:00,40586.96,41380.0,38720.0,40088.22,75785.979675,2606.3539489926125,53.750013447593545,39.57995880830379,9.234629584473145,34381.36519913484,29734.265752032177,41950.0,21815.0,31882.5,102326.47727045,28671.122368223176,-0.9256874305299404,89.91400545503123,41550.186594530074,30028.227000000003,18506.26740546993,0.9365573806028565,HOLD,0
2021-01-10 05:30:00,40088.22,41350.0,35111.11,38150.02,118209.544503,2865.8208097788543,52.27633459534852,33.42527709081723,16.793550046454385,34961.158245421786,30357.65495558535,41950.0,22353.4,32151.7,103835.43963345,28673.28080680904,0.5013065985158062,81.63778975103189,42327.58754193104,30799.7425,19271.89745806896,0.8188053566501075,HOLD,0
