datetime,open,high,low,close,volume,ATR,trade_type,signals
2018-01-01 05:30:00,13715.65,13818.55,12750.0,13380.0,8609.915844,,HOLD,0
2018-01-02 05:30:00,13382.16,15473.49,12890.02,14675.11,20078.092111,,HOLD,0
2018-01-03 05:30:00,14690.0,15307.56,14150.0,14919.51,15905.667639,,HOLD,0
2018-01-04 05:30:00,14919.51,15280.0,13918.04,15059.54,21329.649574,,HOLD,0
2018-01-05 05:30:00,15059.56,17176.24,14600.0,16960.39,23251.491125,,HOLD,0
2018-01-06 05:30:00,16960.39,17143.13,16011.21,17069.79,18571.457508,,HOLD,0
2018-01-07 05:30:00,17069.79,17099.96,15610.0,16150.03,12493.125558,,HOLD,0
2018-01-08 05:30:00,16218.85,16322.3,12812.0,14902.54,26600.609912,,HOLD,0
2018-01-09 05:30:00,14902.54,15500.0,14011.05,14400.0,14315.004253,,HOLD,0
2018-01-10 05:30:00,14401.0,14955.66,13131.31,14907.09,17411.001655,,HOLD,0
2018-01-11 05:30:00,14940.0,14968.68,11400.0,13238.78,33554.723751,,HOLD,0
2018-01-12 05:30:00,13238.76,14109.78,12500.0,13740.01,16417.162137,,HOLD,0
2018-01-13 05:30:00,13749.95,14580.0,13706.15,14210.0,12221.508528,,HOLD,0
2018-01-14 05:30:00,14210.0,14339.5,12569.2,13474.99,17017.894329,1587.7136572415181,HOLD,0
2018-01-15 05:30:00,13477.98,14249.99,13147.79,13539.93,14652.094705,1553.0341102956954,HOLD,0
2018-01-16 05:30:00,13500.0,13542.93,9035.0,10900.0,63401.169175,1764.0981024174316,SHORT,-1
2018-01-17 05:30:00,10899.99,11680.99,9037.94,10988.79,72331.796646,1826.8803808161865,REVERSE_SHORT_TO_LONG,2
2018-01-18 05:30:00,10972.59,11878.82,10435.33,10961.97,48464.434937,1799.4953536150304,HOLD,0
2018-01-19 05:30:00,10960.0,11795.0,10360.0,11474.98,34129.375421,1773.4599712139568,HOLD,0
2018-01-20 05:30:00,11474.98,13099.0,11412.45,12799.94,28768.857827,1767.2521161272457,HOLD,0
2018-01-21 05:30:00,12799.8,12799.8,10965.0,11530.0,41379.773426,1772.0869649752997,HOLD,0
