datetime,open,high,low,close,volume,ATR,ADX,DI+,DI-,ema_fast,ema_slow,donchian_high,donchian_low,donchian_mid,volume_ma20,volume_std20,volume_zscore,RSI,bb_upper,bb_mid,bb_lower,bb_percent,trade_type,signals
2021-01-01 05:30:00,28923.63,29600.0,28624.57,29331.69,54182.925011,,,0.0,0.0,29331.69,29331.69,,,,,,,,,,,,HOLD,0
2021-01-02 05:30:00,29331.7,33300.0,28946.53,32178.33,129993.873362,,100.0,21.72118684564924,0.0,29769.634615384613,29542.55222222222,,,,,,,,,,,,HOLD,0
2021-01-03 05:30:00,32176.45,34778.11,31962.99,33000.05,120957.56675,,100.0,26.37238404894438,0.0,30266.621597633137,29798.66316872428,,,,,,,,,,,,HOLD,0
2021-01-04 05:30:00,33000.05,33600.0,28130.0,31988.71,140899.88569,,93.47806939509294,20.037426365121505,16.832347425819822,30531.558274920346,29960.888859929888,,,,,,,,,,,,HOLD,0
2021-01-05 05:30:00,31989.75,34360.0,29900.0,33949.53,116049.997038,,88.00130314223419,19.515383574377317,13.900413036291607,31057.400078778755,30256.34375919434,,,,,,,,,,,,HOLD,0
2021-01-06 05:30:00,33949.53,36939.21,33288.0,36769.36,127139.20131,,84.372119330801,26.321236497260088,12.049946201782591,31936.163143582024,30738.789406661424,,,,,,,,,,,,HOLD,0
2021-01-07 05:30:00,36769.36,40365.0,36300.0,39432.28,132825.700437,,82.16662785084185,34.29812502682062,10.391371972703084,33089.41189072325,31382.751672834653,,,,,,,,,,,,HOLD,0
2021-01-08 05:30:00,39432.48,41950.0,36500.0,40582.81,139789.957499,,80.49907666738906,33.43345872116431,8.668627775108854,34242.242369073516,32064.2374748469,,,,,,,,,,,,HOLD,0
2021-01-09 05:30:00,40586.96,41380.0,38720.0,40088.22,75785.979675,,78.95063628275433,30.753589871020075,7.973791331719779,35141.623543062204,32658.606550784167,,,,,,,,,,,,HOLD,0
2021-01-10 05:30:00,40088.22,41350.0,35111.11,38150.02,118209.544503,,74.87874909190658,25.57552818025708,16.370747093457457,35604.453767206476,33065.37791739275,,,,,,,,,,,,HOLD,0
2021-01-11 05:30:00,38150.02,38264.74,30420.0,35404.47,251156.138287,,70.09948876496264,20.827044444284162,24.433939564306545,35573.6870337901,33238.64399758588,,,,,,,,,,,,HOLD,0
2021-01-12 05:30:00,35410.37,36628.0,32531.0,34051.24,133948.151996,,65.66160417565757,18.85782531907914,22.123684682830017,35339.46441320701,33298.836294061,,,,,,,,,,,,HOLD,0
