datetime,open,high,low,close,volume,ATR,EMA200,ADX,DI+,DI-,donchian_high,donchian_low,signals,decision_signal,decision_target,decision_reason,trade_type,forced_liquidation
2018-01-29 05:30:00,11879.9500000000,11975.0200000000,11139.5500000000,11251.0000000000,14170.3775380000,1561.6995250142,13269.1823538111,37.7748760180,13.3654456947,25.7443520458,,,0,0,,HOLD,HOLD,False
2018-01-30 05:30:00,11250.1100000000,11308.4200000000,9900.0000000000,10237.5100000000,25554.3729460000,1550.7509875132,13239.0164597434,37.9967352188,12.4983929305,29.7836917131,,,0,0,,HOLD,HOLD,False
2018-01-31 05:30:00,10230.0000000000,10425.8500000000,9700.0000000000,10285.1000000000,18015.9568050000,1491.8294884051,13209.6242561638,38.2995563206,12.0640289222,29.7061985296,17176.2400000000,9035.0000000000,0,0,,HOLD,HOLD,False
2018-02-01 05:30:00,10285.1000000000,10335.0000000000,8750.9900000000,9224.5200000000,33564.7643110000,1498.4138106619,13169.9714774955,39.0134180588,11.1530874263,31.9869953546,17176.2400000000,9035.0000000000,0,0,,HOLD,HOLD,False
2018-02-02 05:30:00,9224.5200000000,9250.0000000000,8010.0200000000,8873.0300000000,49971.6269750000,1479.9542527574,13127.2158409036,39.9755588264,10.4856147990,33.6489079941,17176.2400000000,8750.9900000000,0,0,,HOLD,HOLD,False
2018-02-03 05:30:00,8873.0300000000,9473.0100000000,8229.0000000000,9199.9600000000,28725.0007350000,1463.1010918462,13088.1386683572,40.5902413266,10.9375311521,31.6053240776,17176.2400000000,8010.0200000000,0,0,,HOLD,HOLD,False
2018-02-04 05:30:00,9199.9600000000,9368.0000000000,7930.0000000000,8184.8100000000,32014.3084490000,1461.3081567143,13039.3493283736,41.2918949059,10.1687400558,30.8453173695,17176.2400000000,8010.0200000000,0,0,,HOLD,HOLD,False
2018-02-05 05:30:00,8179.9900000000,8382.8000000000,6625.0000000000,6939.9900000000,63403.1825790000,1482.4861455204,12978.6591858027,42.4515608928,9.3075124810,34.5206155626,17143.1300000000,7930.0000000000,0,0,,HOLD,HOLD,False
2018-02-06 05:30:00,6939.6300000000,7878.0000000000,6000.0100000000,7652.1400000000,100201.5003070000,1510.7364208404,12925.6589948992,43.7374038883,8.4810746910,34.4104341595,17099.9600000000,6625.0000000000,0,0,,HOLD,HOLD,False
2018-02-07 05:30:00,7655.0200000000,8476.0000000000,7150.0100000000,7599.0000000000,60778.4604970000,1497.5402479232,12872.6574128604,44.1717166779,10.7969761853,32.2341086029,16322.3000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-08 05:30:00,7599.0000000000,7844.0000000000,7572.0900000000,7784.0200000000,1521.5373180000,1409.9952302144,12822.0242047722,44.5750071254,10.6482519844,31.7900961348,15500.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-09 05:30:00,7789.9000000000,8738.0000000000,7789.9000000000,8683.9200000000,20482.9108250000,1377.4227137706,12780.8490385556,43.8464102152,14.7574677880,30.2174325339,14968.6800000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-10 05:30:00,8683.9300000000,9065.7800000000,8120.0000000000,8533.9800000000,49381.5126530000,1346.5910913584,12738.5916351869,42.7944811337,15.7557919604,28.7014858951,14968.6800000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-11 05:30:00,8533.9900000000,8549.0000000000,7726.5300000000,8063.8800000000,45025.1879520000,1309.1538705471,12692.0770915532,42.0613412801,15.0487558846,29.5603224552,14580.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-12 05:30:00,8063.8200000000,8989.0000000000,8053.0000000000,8903.0000000000,41987.8504900000,1282.5000226508,12654.3748319357,40.8619884958,16.7148301794,28.0193332417,14580.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-13 05:30:00,8903.0000000000,8950.0000000000,8351.0000000000,8539.9000000000,35454.9729560000,1233.6785924615,12613.4347838568,39.7483037676,16.1351362844,27.0475832301,14339.5000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-14 05:30:00,8535.1700000000,9489.6000000000,8533.0000000000,9449.9900000000,40811.9528670000,1213.8872644285,12581.9577213308,38.0673935553,18.4020641803,25.5251002311,14249.9900000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-15 05:30:00,9449.9800000000,10219.5000000000,9301.5000000000,10000.0900000000,52427.5967150000,1192.7524598265,12556.2674952480,35.7157487278,21.7614551072,24.1218607972,13542.9300000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-16 05:30:00,10000.8900000000,10323.3700000000,9666.0000000000,10159.9800000000,38161.2059740000,1154.5108555532,12532.4238385788,33.4240085845,21.5190316152,23.1408029160,13099.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-17 05:30:00,10156.0700000000,11075.0700000000,10050.0000000000,11039.5500000000,41882.1084070000,1145.2650801565,12517.5693725233,31.5236215772,24.8315202748,21.6613610909,13099.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-18 05:30:00,11039.5500000000,11274.0000000000,10080.0000000000,10383.4300000000,61137.3807280000,1148.7461458596,12496.3341548863,29.9449113011,24.2249063814,20.0531688374,13099.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-19 05:30:00,10375.0100000000,11250.0000000000,10270.3300000000,11153.0000000000,40831.4171310000,1136.6692782982,12482.9676458824,28.4789660447,22.7335557631,18.8186416415,13099.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-20 05:30:00,11147.1100000000,11786.0100000000,11100.5900000000,11200.9900000000,48153.3542880000,1104.4371869912,12470.2116494060,27.6371878016,25.1924012959,17.9844304959,12799.8000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-21 05:30:00,11195.0700000000,11304.0300000000,10200.0000000000,10437.6000000000,68113.8187540000,1104.4081022061,12449.9866578696,25.7982254310,23.3935601178,22.5249136392,12244.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-22 05:30:00,10439.0200000000,10933.4400000000,9679.0000000000,9811.0400000000,67060.1664830000,1115.1246663343,12423.7284821694,24.3534075750,21.5138332240,24.0522154772,12244.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-23 05:30:00,9815.5500000000,10435.0000000000,9570.1900000000,10131.0400000000,57202.7023700000,1097.2450473104,12400.9156614513,23.1210968433,20.3026583979,23.4064685618,12244.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-24 05:30:00,10131.0400000000,10496.9700000000,9352.0000000000,9694.5100000000,40888.1562990000,1100.6539725025,12373.9862518846,22.2011757728,18.7940789944,23.0832383710,12244.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-25 05:30:00,9694.5100000000,9847.0000000000,9274.8000000000,9590.0000000000,28373.5175860000,1062.9072601809,12346.2848961445,21.4285142608,18.0713998991,22.7144231681,12244.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-26 05:30:00,9590.0000000000,10444.3200000000,9350.0000000000,10324.0000000000,34878.2927560000,1065.1510273108,12326.1626583719,19.9486077314,20.7508392219,21.0475336228,12244.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
