datetime,equity,cash,position,close,daily_return,drawdown
2018-01-01 05:30:00,1000.0000000000,1000.0000000000,0,13380.0000000000,0.0000000000,0.0000000000
2018-01-02 05:30:00,1000.0000000000,1000.0000000000,0,14675.1100000000,0.0000000000,0.0000000000
2018-01-03 05:30:00,1000.0000000000,1000.0000000000,0,14919.5100000000,0.0000000000,0.0000000000
2018-01-04 05:30:00,1000.0000000000,1000.0000000000,0,15059.5400000000,0.0000000000,0.0000000000
2018-01-05 05:30:00,1000.0000000000,1000.0000000000,0,16960.3900000000,0.0000000000,0.0000000000
2018-01-06 05:30:00,1000.0000000000,1000.0000000000,0,17069.7900000000,0.0000000000,0.0000000000
2018-01-07 05:30:00,1000.0000000000,1000.0000000000,0,16150.0300000000,0.0000000000,0.0000000000
2018-01-08 05:30:00,1000.0000000000,1000.0000000000,0,14902.5400000000,0.0000000000,0.0000000000
2018-01-09 05:30:00,1000.0000000000,1000.0000000000,0,14400.0000000000,0.0000000000,0.0000000000
2018-01-10 05:30:00,1000.0000000000,1000.0000000000,0,14907.0900000000,0.0000000000,0.0000000000
2018-01-11 05:30:00,1000.0000000000,1000.0000000000,0,13238.7800000000,0.0000000000,0.0000000000
2018-01-12 05:30:00,1000.0000000000,1000.0000000000,0,13740.0100000000,0.0000000000,0.0000000000
2018-01-13 05:30:00,1000.0000000000,1000.0000000000,0,14210.0000000000,0.0000000000,0.0000000000
2018-01-14 05:30:00,1000.0000000000,1000.0000000000,0,13474.9900000000,0.0000000000,0.0000000000
2018-01-15 05:30:00,1000.0000000000,1000.0000000000,0,13539.9300000000,0.0000000000,0.0000000000
2018-01-16 05:30:00,1000.0000000000,1000.0000000000,0,10900.0000000000,0.0000000000,0.0000000000
2018-01-17 05:30:00,1000.0000000000,1000.0000000000,0,10988.7900000000,0.0000000000,0.0000000000
2018-01-18 05:30:00,1000.0000000000,1000.0000000000,0,10961.9700000000,0.0000000000,0.0000000000
