direction,entry_time,exit_time,entry_price,exit_price,quantity,entry_notional,exit_notional,entry_fee,exit_fee,brokerage,gross_pnl,net_pnl,return_pct,holding_days,entry_reason,exit_reason,forced_exit
SHORT,2022-01-06 05:30:00,2022-02-01 05:30:00,43451.1400000000,38466.9000000000,0.0229798861,998.5022466301,883.9649793053,1.4977533699,1.3259474690,2.8237008389,114.5372673247,111.7135664858,11.1713566486,26.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2022-03-29 05:30:00,2022-04-07 05:30:00,47122.2100000000,43170.4700000000,0.0235568004,1110.0484937452,1016.9581434693,1.6650727406,1.5254372152,3.1905099558,-93.0903502759,-96.2808602317,-8.6605815683,9.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2022-04-27 05:30:00,2022-05-31 05:30:00,38112.6400000000,31734.2300000000,0.0266030335,1013.9118384964,844.2267836226,1.5208677577,1.2663401754,2.7872079332,169.6850548738,166.8978469406,16.4361307168,34.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
SHORT,2022-06-13 05:30:00,2022-07-08 05:30:00,26574.5300000000,21624.9900000000,0.0444244814,1180.5597136243,960.6789659696,1.7708395704,1.4410184490,3.2118580194,219.8807476547,216.6688896353,18.3255764684,25.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
SHORT,2022-08-27 05:30:00,2022-09-10 05:30:00,20239.1400000000,21361.6200000000,0.0690199330,1396.9040866999,1474.3775810895,2.0953561300,2.2115663716,4.3069225017,-77.4734943895,-81.7804168912,-5.8456361302,14.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
SHORT,2022-11-10 05:30:00,2022-12-01 05:30:00,15922.6800000000,17165.5300000000,0.0826020592,1315.2461567037,1417.9081260367,1.9728692351,2.1268621891,4.0997314241,-102.6619693330,-106.7617007571,-8.1050834109,21.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
